formid,timeStart,timeEnd,received_on,form_date,location,team,form|OPD|,form|REF|,form|WC|,form|TRM|<5,form|TRM|≥5,form|ARI|<5,form|ARI|≥5,form|AD|<5,form|AD|≥5
9,2015-07-22 12:13:04,2015-07-22 12:21:29,2015-07-22 12:21:45,2015-07-22,Location01,MCL 2,144,7,11,0,11,1,17,0,1
21,2015-08-26 12:10:35,2015-08-26 12:14:20,2015-08-26 12:14:17,2015-08-26,Location01,MCL 2,28,1,2,0,0,1,4,0,0
25,2015-07-27 12:30:28,2015-07-27 12:38:17,2015-07-27 12:38:35,2015-07-27,Location01,MCL 2,42,2,3,0,0,0,7,0,0
29,2015-08-05 12:43:18,2015-08-05 12:51:59,2015-08-05 12:52:07,2015-08-05,Location01,MCL 2,79,0,14,0,14,1,8,0,1
30,2015-09-09 11:44:22,2015-09-09 11:46:47,2015-09-09 11:47:16,2015-09-09,Location01,MCL 2,32,0,6,0,0,1,4,0,0
42,2015-07-15 14:37:19,2015-07-15 14:41:11,2015-07-15 14:41:25,2015-07-14,Location01,MCL 2,41,0,1,0,1,1,10,0,0
51,2015-07-29 12:15:45,2015-07-29 12:23:13,2015-07-29 12:23:25,2015-07-29,Location01,MCL 2,101,0,11,1,10,1,22,0,4
56,2015-09-02 12:10:14,2015-09-02 12:12:37,2015-09-02 12:12:45,2015-09-02,Location01,MCL 2,22,0,2,0,1,1,3,0,0
71,2015-07-10 08:21:39,2015-07-10 08:23:33,2015-07-10 08:23:44,2015-07-07,Location01,MCL 2,24,3,0,0,0,0,3,0,0
74,2015-07-10 08:18:55,2015-07-10 08:21:30,2015-07-10 08:21:37,2015-07-06,Location01,MCL 2,25,3,4,0,4,0,4,0,0
77,2015-08-11 12:22:27,2015-08-11 12:27:30,2015-08-11 12:36:30,2015-08-11,Location01,MCL 2,19,0,1,0,1,1,7,0,1
91,2015-08-19 12:01:09,2015-08-19 12:12:04,2015-08-19 12:12:24,2015-08-19,Location01,MCL 2,36,3,5,0,4,0,2,0,0
97,2015-08-31 11:00:21,2015-08-31 11:02:10,2015-08-31 11:02:16,2015-08-31,Location01,MCL 2,13,0,3,0,1,0,0,0,0
106,2015-07-21 10:55:06,2015-07-21 11:07:41,2015-07-21 11:07:54,2015-07-20,Location01,MCL 2,36,2,5,0,5,2,2,0,0
116,2015-08-10 11:26:09,2015-08-10 11:34:41,2015-08-10 11:34:55,2015-08-10,Location01,MCL 2,58,4,5,0,4,1,9,0,0
11,2015-08-13 12:55:22,2015-08-13 13:07:16,2015-08-19 07:18:41,2015-08-11,Location02,MCA 1,54,1,4,0,5,1,3,0,1
13,2015-08-19 07:24:55,2015-08-19 07:27:46,2015-08-19 07:27:56,2015-08-13,Location02,MCA 1,49,1,2,0,0,2,4,0,1
69,2015-07-26 07:58:10,2015-07-26 08:03:37,2015-07-26 08:03:43,2015-07-26,Location02,MCA 2,20,0,5,2,0,6,5,5,5
70,2015-08-19 07:28:04,2015-08-19 07:29:56,2015-08-19 07:30:06,2015-08-14,Location02,MCA 1,21,0,3,0,2,0,0,0,0
105,2015-08-13 12:41:17,2015-08-13 12:55:16,2015-08-19 07:18:14,2015-08-10,Location02,MCA 1,72,0,4,1,7,0,4,0,5
114,2012-01-01 01:57:45,2012-01-01 02:15:04,2015-07-17 05:09:02,2015-07-13,Location02,MCA 1,31,0,2,1,30,0,2,0,2
120,2015-08-19 07:19:20,2015-08-19 07:22:09,2015-08-19 07:22:24,2015-08-12,Location02,MCA 1,48,1,3,0,1,1,3,0,2
8,2015-08-27 11:05:28,2015-08-27 11:06:56,2015-08-28 04:20:05,2015-08-27,Location03,MCA 2,52,0,23,1,2,1,0,1,2
12,2015-08-23 10:37:51,2015-08-23 10:53:32,2015-08-02 05:14:03,2015-07-28,Location03,MCA 1,42,0,4,1,0,0,3,2,1
19,2015-09-22 12:28:49,2015-09-22 12:32:59,2015-09-22 12:32:53,2015-09-17,Location03,MCA 2,71,0,12,0,2,1,0,0,0
22,2015-09-22 12:24:29,2015-09-22 12:28:43,2015-09-22 12:29:04,2015-09-16,Location03,MCA 2,77,0,15,0,3,1,2,0,0
27,2015-08-25 02:02:07,2015-08-25 02:20:06,2015-08-02 05:14:17,2015-07-31,Location03,MCA 1,45,1,2,4,0,1,2,1,0
40,2015-08-24 05:31:37,2015-08-24 05:35:30,2015-08-02 05:14:12,2015-07-30,Location03,MCA 1,14,0,0,0,0,0,0,0,0
45,2015-08-26 12:40:01,2015-08-26 12:41:49,2015-08-28 04:19:47,2015-08-26,Location03,MCA 2,64,0,15,1,0,3,0,2,0
55,2015-08-23 10:53:39,2015-08-23 11:02:39,2015-08-02 05:14:08,2015-07-29,Location03,MCA 1,28,0,6,1,4,0,2,0,0
80,2015-08-26 12:41:58,2015-08-26 12:43:21,2015-08-28 04:19:52,2015-08-25,Location03,MCA 2,59,0,16,,1,0,0,1,0
93,2015-08-26 12:43:30,2015-08-26 12:44:54,2015-08-28 04:20:01,2015-08-24,Location03,MCA 2,57,0,14,0,3,0,0,3,0
112,2015-08-26 01:44:09,2015-08-26 01:49:00,2015-08-02 05:14:25,2015-08-01,Location03,MCA 1,22,0,0,3,0,3,0,0,0
115,2015-08-23 10:31:26,2015-08-23 10:37:25,2015-08-02 05:13:00,2015-07-27,Location03,MCA 1,42,0,3,0,4,0,5,2,1
119,2015-08-28 05:17:11,2015-08-28 05:18:17,2015-09-22 12:28:53,2015-08-28,Location03,MCA 2,9,0,4,0,0,1,0,1,0
58,2015-09-05 08:04:02,2015-09-05 08:07:51,2015-09-05 08:08:12,2015-09-03,Location04,MCL 1,127,0,4,0,1,4,14,0,0
35,2015-07-23 07:35:28,2015-07-23 07:38:21,2015-07-23 07:38:30,2015-07-22,Location05,MCL 1,85,0,4,0,3,0,1,0,2
88,2015-07-22 11:37:07,2015-07-22 11:38:46,2015-07-22 11:38:52,2015-07-20,Location06,MCL 1,95,1,5,0,1,9,14,3,3
2,2015-08-13 13:35:28,2015-08-13 13:37:05,2015-08-13 13:39:39,2015-08-11,Location07,MCL 1,88,0,5,0,6,0,0,0,1
15,2015-08-20 13:23:25,2015-08-20 13:25:44,2015-08-20 13:26:05,2015-08-18,Location07,MCL 1,76,0,2,0,2,3,2,2,0
48,2015-09-13 14:51:17,2015-09-13 14:52:47,2015-09-13 14:52:52,2015-09-08,Location07,MCL 1,42,0,2,0,1,4,5,0,0
101,2015-09-05 08:01:21,2015-09-05 08:02:40,2015-09-05 08:02:47,2015-09-01,Location07,MCL 1,79,0,6,0,3,3,5,0,1
110,2015-08-26 15:54:31,2015-08-26 15:55:55,2015-08-26 15:56:49,2015-08-25,Location07,MCL 1,71,0,4,0,3,0,4,0,1
1,2015-08-07 09:35:43,2015-08-07 09:43:38,2015-08-07 09:43:51,2015-08-07,Location08,MCL 2,53,1,6,2,4,5,9,0,0
54,2015-07-16 09:34:12,2015-07-16 09:43:36,2015-07-16 09:43:43,2015-07-16,Location08,MCL 2,74,0,23,0,17,1,6,0,2
59,2015-08-20 11:12:41,2015-08-20 11:17:59,2015-08-20 11:18:08,2015-08-20,Location08,MCL 2,61,1,5,0,5,1,8,0,2
83,2015-07-30 12:18:19,2015-07-30 12:20:53,2015-07-30 12:21:08,2015-07-30,Location08,MCL 2,34,0,8,0,8,1,3,0,0
90,2015-09-13 14:52:58,2015-09-13 14:54:09,2015-09-13 14:54:14,2015-09-09,Location08,MCL 1,99,0,2,0,2,0,7,0,2
108,2015-09-05 08:10:38,2015-09-05 08:11:47,2015-09-05 08:11:50,2015-09-04,Location09,MCL 1,162,0,22,1,10,2,6,3,1
5,2015-07-31 10:57:36,2015-07-31 11:01:29,2015-07-31 11:01:52,2015-07-31,Location10,MCL 2,53,4,6,0,6,2,10,0,1
37,2015-09-04 09:26:34,2015-09-04 09:28:49,2015-09-04 09:29:22,2015-09-04,Location10,MCL 2,48,0,7,0,0,2,5,0,0
44,2015-08-14 09:44:54,2015-08-14 09:50:14,2015-08-14 09:51:11,2015-08-14,Location10,MCL 2,43,5,7,0,7,0,2,1,1
46,2015-07-17 07:52:26,2015-07-17 07:56:34,2015-07-18 11:38:21,2015-07-17,Location10,MCL 2,55,1,9,1,8,3,8,0,0
73,2015-09-11 08:33:11,2015-09-11 08:36:21,2015-09-11 08:36:34,2015-09-11,Location10,MCL 2,65,0,11,0,6,3,7,0,1
76,2015-08-28 09:13:12,2015-08-28 09:16:05,2015-08-28 09:17:02,2015-08-28,Location10,MCL 2,64,0,9,0,5,7,6,0,0
96,2015-07-13 04:51:49,2015-07-13 04:53:22,2015-07-13 04:53:29,2015-07-10,Location10,MCL 2,89,4,8,0,8,3,7,0,1
3,2015-08-21 11:54:09,2015-08-21 11:57:00,2015-08-21 11:57:12,2015-08-21,Location11,MCA 1,22,0,3,0,1,1,3,0,1
43,2015-08-19 08:13:16,2015-08-19 08:20:12,2015-08-19 08:20:25,2015-08-18,Location11,MCA 1,45,0,2,0,3,0,2,1,0
92,2015-08-20 09:47:27,2015-08-20 09:50:35,2015-08-20 09:50:58,2015-08-19,Location11,MCA 1,26,0,3,0,1,1,4,0,0
98,2015-08-21 10:19:08,2015-08-21 10:23:28,2015-08-21 10:23:58,2015-08-20,Location11,MCA 1,30,0,4,0,2,3,2,0,0
99,2015-08-19 08:07:25,2015-08-19 08:12:57,2015-08-19 08:13:12,2015-08-17,Location11,MCA 1,42,0,2,0,4,1,3,0,0
14,2015-07-28 15:25:21,2015-07-28 15:26:43,2015-07-28 15:26:55,2015-07-27,Location12,MCL 1,20,0,2,0,2,0,0,0,0
16,2015-08-26 15:56:22,2015-08-26 15:57:34,2015-08-27 16:34:45,2015-08-26,Location12,MCL 1,42,0,7,1,1,0,3,0,0
17,2015-08-06 11:45:24,2015-08-06 11:46:20,2015-08-06 11:46:46,2015-08-04,Location12,MCL 1,35,0,6,0,5,1,2,0,0
47,2015-07-22 10:26:13,2015-07-22 10:33:50,2015-07-22 10:18:55,2015-07-17,Location12,MCL 1,26,0,3,0,3,0,5,0,1
61,2015-09-02 15:29:13,2015-09-02 15:31:02,2015-09-02 15:31:42,2015-09-01,Location12,MCL 1,79,0,6,0,3,3,5,0,1
66,2015-08-14 09:34:36,2015-08-14 09:36:26,2015-08-20 09:50:31,2015-08-14,Location12,MCL 1,43,0,4,0,2,0,1,0,0
68,2015-08-31 14:14:00,2015-08-31 14:18:50,2015-09-02 15:31:21,2015-08-31,Location12,MCL 1,55,0,3,0,0,1,4,0,0
85,2015-07-10 08:12:26,2015-07-10 08:13:31,2015-07-10 08:13:37,2015-07-06,Location12,MCL 1,42,0,9,1,4,0,1,0,5
87,2015-07-13 04:47:01,2015-07-13 04:49:58,2015-07-13 04:50:42,2015-07-10,Location12,MCL 1,31,0,5,0,2,0,0,0,1
103,2015-08-10 12:34:01,2015-08-10 12:35:08,2015-08-10 12:35:30,2015-08-10,Location12,MCL 1,35,0,4,0,2,3,3,0,1
107,2015-09-13 14:57:30,2015-09-13 15:01:28,2015-09-13 15:01:37,2015-09-11,Location12,MCL 1,107,0,7,0,4,0,7,0,3
109,2015-08-01 05:05:42,2015-08-01 05:08:38,2015-08-01 05:08:57,2015-07-31,Location12,MCL 1,45,0,1,0,2,0,2,0,2
7,2015-07-17 10:16:52,2015-07-17 10:20:02,2015-07-17 10:20:14,2015-07-15,Location12,MCL 1,33,0,8,2,6,0,4,0,0
10,2015-07-13 07:04:55,2015-07-13 07:06:54,2015-07-13 07:07:06,2015-07-08,Location12,MCL 1,19,0,2,0,3,0,2,0,0
20,2015-07-30 14:06:37,2015-07-30 14:09:33,2015-07-30 14:09:41,2015-07-29,Location12,MCL 1,75,1,12,0,2,5,3,0,4
31,2015-08-20 12:00:52,2015-08-20 12:03:29,2015-08-20 12:03:37,2015-08-19,Location12,MCL 1,46,0,6,0,6,1,4,1,1
33,2015-08-06 11:46:28,2015-08-06 11:47:40,2015-08-06 11:47:49,2015-08-05,Location12,MCL 1,53,0,5,0,6,0,7,0,2
36,2015-08-16 07:21:27,2015-08-16 07:24:07,2015-08-16 07:24:13,2015-08-16,Location13,MCA 2,7,0,1,0,0,0,0,1,0
38,2015-08-13 14:19:06,2015-08-13 14:20:22,2015-08-13 14:27:24,2015-08-13,Location13,MCA 2,83,0,6,1,3,0,0,0,8
41,2015-08-02 13:19:38,2015-08-02 13:27:04,2015-08-02 13:29:48,2015-08-02,Location13,MCA 2,108,0,7,0,0,0,0,0,0
49,2015-08-14 11:40:42,2015-08-14 11:42:54,2015-08-14 13:35:04,2015-08-14,Location13,MCA 2,86,0,10,1,1,0,0,1,2
52,2015-08-15 12:54:44,2015-08-15 12:56:26,2015-08-15 13:00:08,2015-08-15,Location13,MCA 2,67,0,8,0,2,0,0,2,2
75,2015-08-13 14:17:30,2015-08-13 14:19:00,2015-08-13 14:27:13,2015-08-12,Location13,MCA 2,63,0,4,0,4,0,0,1,4
79,2015-08-01 11:11:21,2015-08-01 11:15:51,2015-08-01 12:38:29,2015-08-01,Location13,MCA 2,73,0,5,0,2,0,0,1,0
86,2015-07-14 14:20:36,2015-07-14 15:02:59,2015-07-14 15:03:08,2015-07-14,Location13,MCL 1,62,0,1,0,1,1,2,4,1
89,2015-07-31 11:24:35,2015-07-31 11:29:18,2015-08-01 12:38:13,2015-07-31,Location13,MCA 2,69,0,2,0,1,0,0,0,0
113,2015-07-31 11:16:27,2015-07-31 11:24:16,2015-08-01 12:38:01,2015-07-30,Location13,MCA 2,36,0,1,0,0,0,0,0,0
4,2015-07-17 10:20:22,2015-07-17 10:22:07,2015-07-17 10:22:19,2015-07-16,Location14,MCL 1,61,4,3,0,3,2,3,0,0
18,2015-07-21 12:37:52,2015-07-21 12:39:21,2015-07-21 12:39:50,2015-07-21,Location14,MCL 1,50,0,9,0,3,0,0,1,0
24,2015-08-06 12:35:41,2015-08-06 12:37:59,2015-08-06 12:38:14,2015-08-06,Location14,MCL 1,44,0,6,1,3,0,5,0,1
28,2015-09-05 08:02:48,2015-09-05 08:03:52,2015-09-05 08:03:58,2015-09-02,Location14,MCL 1,38,0,3,0,2,1,5,0,0
53,2015-07-10 08:13:51,2015-07-10 08:16:03,2015-07-10 08:16:09,2015-07-07,Location14,MCL 1,62,0,2,1,2,1,0,1,0
65,2015-08-20 13:18:16,2015-08-20 13:21:10,2015-08-20 13:21:22,2015-08-20,Location14,MCL 1,66,0,11,,2,0,7,1,3
67,2015-08-13 13:37:31,2015-08-13 13:38:54,2015-08-13 13:40:36,2015-08-13,Location14,MCL 1,41,0,5,,,1,3,1,1
72,2015-07-28 15:26:52,2015-07-28 15:28:38,2015-07-28 15:28:51,2015-07-28,Location14,MCL 1,52,0,0,0,4,0,6,0,1
84,2015-07-10 08:16:17,2015-07-10 08:17:20,2015-07-10 08:17:27,2015-07-09,Location14,MCL 1,50,0,6,0,7,1,1,0,3
94,2015-08-27 16:29:28,2015-08-27 16:34:47,2015-08-27 16:35:11,2015-08-27,Location14,MCL 1,78,0,10,0,4,1,1,0,1
100,2015-09-13 14:54:26,2015-09-13 14:55:38,2015-09-13 14:55:30,2015-09-10,Location14,MCL 1,107,0,10,1,2,8,11,0,1
104,2015-07-30 14:09:44,2015-07-30 14:13:07,2015-07-30 14:13:23,2015-07-30,Location14,MCL 1,57,0,7,0,3,0,2,0,0
118,2015-07-23 07:26:30,2015-07-23 07:28:20,2015-07-23 07:28:29,2015-07-23,Location14,MCL 1,41,0,6,0,3,0,1,1,0
0,2015-08-06 09:44:24,2015-08-06 09:48:41,2015-08-06 09:48:58,2015-08-06,Location15,MCL 2,119,0,4,0,4,4,7,0,1
26,2015-09-03 13:04:02,2015-09-03 13:08:56,2015-09-03 13:09:08,2015-09-03,Location15,MCL 2,136,0,15,0,7,4,10,0,2
34,2015-07-23 11:55:41,2015-07-23 12:04:51,2015-07-27 12:30:10,2015-07-23,Location15,MCL 2,86,3,6,0,6,2,8,0,0
60,2015-07-10 08:26:39,2015-07-10 08:28:43,2015-07-10 08:28:54,2015-07-09,Location15,MCL 2,163,7,7,0,7,5,17,0,4
64,2015-09-10 12:27:45,2015-09-10 12:32:25,2015-09-10 12:39:02,2015-09-10,Location15,MCL 2,153,0,16,0,4,3,7,0,1
82,2015-08-13 12:24:42,2015-08-13 12:30:49,2015-08-13 12:31:07,2015-08-13,Location15,MCL 2,124,7,7,2,5,4,11,2,1
123,2015-08-27 14:24:28,2015-08-27 14:31:18,2015-08-27 14:31:27,2015-08-27,Location15,MCL 2,208,5,7,0,5,7,17,0,4
102,2015-09-29 03:22:50,2015-09-29 03:24:07,2015-09-29 03:23:41,2015-09-23,Location16,MCA 2,30,0,2,0,1,,0,0,0
63,2015-07-21 13:00:53,2015-07-21 13:09:47,2015-07-24 10:45:20,2015-07-21,Location17,MCA 1,20,0,0,0,1,2,1,1,1
95,2015-07-23 12:31:34,2015-07-23 12:38:09,2015-07-24 10:45:31,2015-07-23,Location17,MCA 1,14,1,0,0,2,0,1,1,1
111,2015-07-22 12:16:02,2015-07-22 12:26:49,2015-07-24 10:45:26,2015-07-22,Location17,MCA 1,19,0,0,0,2,0,1,1,2
117,2015-07-24 11:16:16,2015-07-24 11:20:54,2015-07-24 11:21:07,2015-07-24,Location17,MCA 1,19,0,0,0,1,0,4,0,2
32,2015-09-22 07:43:14,2015-09-22 07:52:52,2015-09-22 07:52:44,2015-09-17,Location18,MCA 1,44,0,3,0,0,3,9,0,1
39,2015-09-22 07:53:28,2015-09-22 08:01:45,2015-09-22 08:01:45,2015-09-19,Location18,MCA 1,27,0,2,0,0,0,1,0,1
50,2015-09-22 08:02:16,2015-09-22 08:08:40,2015-09-22 08:08:41,2015-09-20,Location18,MCA 1,38,0,4,0,2,0,4,0,0
6,2015-08-25 13:20:36,2015-08-25 13:23:23,2015-08-25 13:23:18,2015-08-25,Location19,MCL 2,77,3,7,0,5,0,7,0,1
23,2015-07-28 11:42:16,2015-07-28 11:48:27,2015-07-28 11:48:57,2015-07-28,Location19,MCL 2,81,1,6,0,0,0,0,0,0
57,2015-08-04 13:14:51,2015-08-04 13:20:53,2015-08-04 13:21:07,2015-08-04,Location19,MCL 2,78,0,8,2,6,2,9,0,1
62,2015-07-10 08:23:43,2015-07-10 08:26:25,2015-07-10 08:26:33,2015-07-08,Location19,MCL 2,81,5,5,0,5,2,11,0,5
78,2015-09-08 12:20:33,2015-09-08 12:22:49,2015-09-08 12:23:03,2015-09-08,Location19,MCL 2,85,0,15,0,0,1,10,0,2
81,2015-09-01 12:10:29,2015-09-01 12:13:39,2015-09-01 12:13:33,2015-09-01,Location19,MCL 2,116,1,16,,3,8,15,0,1
121,2015-07-15 14:42:49,2015-07-15 14:54:06,2015-07-15 14:54:16,2015-07-15,Location19,MCL 2,90,3,6,0,6,7,15,0,1
122,2015-08-18 12:08:26,2015-08-18 12:12:59,2015-08-18 12:13:16,2015-08-18,Location19,MCL 2,122,1,14,2,12,3,10,0,1
